DIR,CPU_TIME,MEM_RSS
hec-parse/cribl,173.4,576356352
syslog-parse/cribl,149.69,351531008
syslog-parse-update/cribl,167.53,352464896
syslog-parse-update-send/cribl,372.65,352595968
tcpjson-parse/cribl,116.03,347635712
syslog-parse/fluentbit,277.39,102342656
syslog-parse-update/fluentbit,473.11,73285632
syslog-parse-update-send/fluentbit,722.28,30707712
tcpjson-parse/fluentbit,108.96,57450496
syslog-parse/logstash,3288.36,1040355328
syslog-parse-update/logstash,6091.38,1078677504
syslog-parse-update-send/logstash,3906.42,1111965696
tcpjson-parse/logstash,296.41,962371584
hec-parse/splunk,202.02,226529280
syslog-parse/splunk,557.91,229355520
syslog-parse-update/splunk,571.46,229482496
syslog-parse-update-send/splunk,592.72,225693696
tcpjson-parse/splunk,287.98,223780864
syslog-parse/syslog-ng,204.45,1191936
syslog-parse-update/syslog-ng,241.72,1118208
syslog-parse-update-send/syslog-ng,456.55,1486848
hec-parse/vector,59.26,27033600
syslog-parse/vector,42.58,23355392
syslog-parse-update/vector,46.38,25935872
syslog-parse-update-send/vector,68.31,25456640
tcpjson-parse/vector,143.09,15396864
