DIR,CPU_TIME,MEM_USAGE
hec-parse/cribl,160251097,517783552
syslog-parse/cribl,139730945,300171264
syslog-parse-update/cribl,138746164,311463936
syslog-parse-update-send/cribl,463703510,556781568
tcpjson-parse/cribl,88121317,310026240
syslog-parse/fluentbit,234709904,44908544
syslog-parse-update/fluentbit,428657046,86491136
syslog-parse-update-send/fluentbit,798120602,41807872
tcpjson-parse/fluentbit,74265124,157433856
syslog-parse/logstash,5184678869,1222709248
syslog-parse-update/logstash,3257893974,1217396736
syslog-parse-update-send/logstash,3599517545,1187614720
tcpjson-parse/logstash,224222299,1201864704
hec-parse/splunk,260993424,1473265664
syslog-parse/splunk,827389098,1433731072
syslog-parse-update/splunk,851533966,1441394688
syslog-parse-update-send/splunk,807265734,1448681472
tcpjson-parse/splunk,277602597,1451597824
syslog-parse/syslog-ng,237505408,6520832
syslog-parse-update/syslog-ng,267710987,6000640
syslog-parse-update-send/syslog-ng,476129648,9531392
hec-parse/vector,64113614,54001664
syslog-parse/vector,330780148,58605568
syslog-parse-update/vector,368832026,66134016
syslog-parse-update-send/vector,442038301,60915712
tcpjson-parse/vector,92899501,68116480
